수송일자,호선,역명,07-10시간대
2022-06-29,4,당고개,3925
2022-06-29,4,상계,8436
2022-06-29,4,노원,5893
2022-06-29,4,창동,9143
2022-06-29,4,쌍문,13370
2022-06-29,4,수유(강북구청),12648
2022-06-29,4,미아(서울사이버대학),5478
2022-06-29,4,미아사거리,10359
2022-06-29,4,길음,9470
2022-06-29,4,성신여대입구(돈암),5479
2022-06-29,4,한성대입구(삼선교),3799
2022-06-29,4,혜화,2386
2022-06-29,4,동대문,930
2022-06-29,4,동대문역사문화공원(DDP),947
2022-06-29,4,충무로,1476
2022-06-29,4,명동,897
2022-06-29,4,회현(남대문시장),784
2022-06-29,4,서울역,1590
2022-06-29,4,숙대입구(갈월),2514
2022-06-29,4,삼각지,1042
2022-06-29,4,신용산,1667
2022-06-29,4,이촌(국립중앙박물관),1691
2022-06-29,4,동작(현충원),309
2022-06-29,4,총신대입구(이수),6029
2022-06-29,4,사당,9394
2022-06-29,4,남태령,295
2022-06-30,4,당고개,3946
2022-06-30,4,상계,8579
2022-06-30,4,노원,5706
2022-06-30,4,창동,8907
2022-06-30,4,쌍문,13329
2022-06-30,4,수유(강북구청),12545
2022-06-30,4,미아(서울사이버대학),5442
2022-06-30,4,미아사거리,10305
2022-06-30,4,길음,9372
2022-06-30,4,성신여대입구(돈암),5627
2022-06-30,4,한성대입구(삼선교),3784
2022-06-30,4,혜화,2423
2022-06-30,4,동대문,894
2022-06-30,4,동대문역사문화공원(DDP),983
2022-06-30,4,충무로,1489
